player_id,full_name,position,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,field_goal_pct,three_point_pct,free_throw_pct,turnovers_per_game,fouls_per_game,age,salary
201939,Stephen Curry,PG,56,34.7,29.4,6.1,6.3,0.9,0.4,49.3,42.7,91.5,3.2,2.3,34,48070014
202691,Klay Thompson,SG,69,33.0,21.9,4.1,2.4,0.7,0.4,43.6,41.2,87.9,1.8,2.8,33,40600080
203110,Draymond Green,PF,73,31.5,8.5,7.2,6.8,1.0,0.8,52.7,30.5,71.3,2.8,3.0,32,25806468
1626172,Kevon Looney,C,82,23.9,7.0,9.3,2.5,0.6,0.6,63.0,0.0,60.6,0.5,2.7,26,7000000
1629673,Jordan Poole,SG,82,30.0,20.4,2.7,4.5,0.8,0.3,43.0,33.6,87.0,3.1,3.1,23,3901399
1628978,Donte DiVincenzo,SG,72,26.3,9.4,4.5,3.5,1.3,0.1,43.5,39.7,81.7,1.6,1.8,26,4500000
1630228,Jonathan Kuminga,SF,67,20.8,9.9,3.4,1.9,0.6,0.5,52.5,37.0,65.2,1.4,2.6,20,5739840
1630541,Moses Moody,SG,63,13.0,4.8,1.7,0.8,0.3,0.1,47.6,36.3,69.8,0.5,1.3,20,3740160
203210,JaMychal Green,PF,57,14.0,6.4,3.6,0.9,0.4,0.4,54.0,37.8,77.6,0.7,1.8,32,2628000
1630237,Anthony Lamb,SF,62,19.3,6.7,3.5,1.5,0.5,0.3,47.1,36.7,76.7,0.9,1.6,24,1017781
1629660,Ty Jerome,PG,45,18.1,6.9,1.7,3.0,0.5,0.1,48.8,38.9,92.7,0.7,1.5,25,508891
1631116,Patrick Baldwin Jr.,SF,31,7.3,3.9,1.3,0.4,0.2,0.1,39.4,38.1,66.7,0.4,0.7,20,2226000
2738,Andre Iguodala,SF,8,14.1,2.1,2.1,2.4,0.5,0.4,46.7,11.1,66.7,1.1,1.9,38,2905851
1631157,Ryan Rollins,PG,12,5.2,1.9,1.0,0.5,0.3,0.1,34.0,37.5,71.4,0.4,0.5,20,1017781
1630164,James Wiseman,C,21,12.5,6.9,3.5,0.7,0.1,0.3,62.8,0.0,68.4,0.7,1.8,21,9166800
1627780,Gary Payton II,PG,7,16.0,5.7,4.3,1.1,0.9,0.6,60.7,44.4,66.7,0.6,1.9,30,8300000